index,ROR,re3data,scholia,wikidata,sitemap_url,base_url,base_uri,count,cdf_membership,name,domain,Headless?,space,notes,re3,logo,summary
edi,https://ror.org/0330j0z6,https://www.re3data.org/repository/r3d100010272,http://mbobak-ofc.ncsa.illinois.edu:8888/topic/Q107518505,https://www.wikidata.org/wiki/Q107518505,https://portal.edirepository.org/sitemap_index.xml,https://portal.edirepository.org/nis/mapbrowse?packageid=,,28248,active,Environmental Data Initiative,http://environmentaldatainitiative.org/ ,,5f7cb835e4b018b1752f2b8c,had2map from sitemap to diff urls,http://www.re3data.org/repository/r3d100010272,https://portal.edirepository.org/nis/images/EDI-logo-300DPI_5.png,"The Environmental Data Initiative is an NSF-funded project meant to accelerate curation and archive of environmental data, emphasizing data from projects funded by the NSF Division of Environmental Biology. Aside from hosting the LTER data repository and collaborating with the LTER Information Managers, EDI serves the ecological research community including but not limited to research funded by the Long Term Research in Environmental Biology (LTREB), Organization for Biological Field Stations (OBFS), and Macrosystems Biology (MSB). The Environmental Data Initiative maintains and develops the PASTA infrastructure for its data repositories, and has recently become DataONE’s 40th member node.
"
bco-dmo,https://ror.org/00vcb3m70,https://www.re3data.org/repository/r3d100000012,n/a,https://www.wikidata.org/wiki/Q90571452,https://www.bco-dmo.org/sitemap.xml,http://www.bco-dmo.org/dataset,,5018,active,Biological and Chemical Oceanography Data Management Office,http://www.bco-dmo.org/,,5f7cb7c5e4b018b1752f2b78,,http://www.re3data.org/repository/r3d100000012,https://www.bco-dmo.org/sites/all/themes/bcodmo/logo.png,"The Biological and Chemical Oceanography Data Management Office (BCO-DMO) was created in late 2006 to serve PIs funded by the NSF Geosciences Directorate (GEO) Division of Ocean Sciences (OCE) Biological and Chemical Oceanography Programs and Office of Polar Programs (OPP) Antarctic Sciences (ANT) Organisms & Ecosystems Program. The BCO-DMO is a combination the Data Management Offices formerly created to support the US JGOFS and US GLOBEC programs. The BCO-DMO staff members are the curators of the legacy data collections created by those respective programs, as well as many other more recent research efforts including those of individual investigators."
hydroshare,n/a,https://www.re3data.org/repository/r3d100012625,http://mbobak-ofc.ncsa.illinois.edu:8888/work/Q63862459,https://www.wikidata.org/wiki/Q63862459,https://www.hydroshare.org/sitemap-resources.xml,https://www.hydroshare.org/resource,,4185,active,"Consortium of Universities for the Advancement of Hydrologic Science, Inc. (CUAHSI)",https://www.cuahsi.org/,,5f72574fe4b01e808c79c162,,http://www.re3data.org/repository/r3d100010082,https://www.hydroshare.org/static/img/logo-lg.png,"CUAHSI's Hydrologic Information System (CUAHSI-HIS) provides web services, tools, standards and procedures that enhance access to more and better data for hydrologic analysis"
iedadata,https://ror.org/02fjjnc15,https://www.re3data.org/repository/r3d100010578,http://mbobak-ofc.ncsa.illinois.edu:8888/organization/Q100956054,https://www.wikidata.org/wiki/Q100956054,http://get.iedadata.org/doi/xml-sitemap.php,http://get.iedadata.org/doi,,7147,active,IEDA (Integrated Earth Data Applications),http://www.iedadata.org/,,5f73a800e4b044a97a381ed9,,http://www.re3data.org/repository/r3d100010578,https://www.iedadata.org/wp-content/themes/IEDA/assets/img/logo.png,"IEDA is a community-based facility that serves to support, sustain, and advance the geosciences by providing data services for observational Geoscience data from the Ocean, Earth, and Polar Sciences. IEDA welcomes and encourages investigators to contribute their data to the IEDA collections so that the data can be discovered and reused by a diverse community now and in the future. The IEDA collections are: EarthChem, Geochron, System for Earth Sample Registration (SESAR), Marine Geoscience Data System (MGDS), and USAP Data Center. Meta-Search provided on the portal through IEDA Data Browser http://www.iedadata.org/databrowser ."
opentopography,n/a,https://www.re3data.org/repository/r3d100010655,n/a,,https://opentopography.org/sitemap.xml,https://portal.opentopography.org/lidarDataset?opentopoID=,,,active,OpenTopography,http://www.opentopography.org/,,5f732bdbe4b01e808c8230f4,no jsonld,http://www.re3data.org/repository/r3d100010655,https://opentopography.org/sites/opentopography.org/files/ot_transp_logo_2.png,"OpenTopography facilitates community access to high-resolution, Earth science-oriented, topography data, and related tools and resources. The OpenTopography Facility is based at the San Diego Supercomputer Center at the University of California, San Diego and is operated in collaboration with colleagues in the School of Earth and Space Exploration at Arizona State University. Core operational support for OpenTopography comes from the National Science Foundation Earth Sciences: Instrumentation and Facilities Program (EAR/IF) and the Office of Cyberinfrastructure. In addition, we receive funding from the NSF and NASA to support various OpenTopography related research and development activities."
unavco,https://ror.org/02n9tn974,http://www.re3data.org/repository/r3d100010872,http://mbobak-ofc.ncsa.illinois.edu:8888/topic/Q7865191,https://www.wikidata.org/wiki/Q7865191,https://www.unavco.org/data/doi/sitemap.xml,https://www.unavco.org/data/doi,,5086,active,UNAVCO,http://www.unavco.org/,,5f7266e3e4b01e808c7a56c8,,http://www.re3data.org/repository/r3d100010872,https://www.unavco.org/lib/images/banner/uv-logo.png,"UNAVCO promotes research by providing access to data that our community of geodetic scientists uses for quantifying the motions of rock, ice and water that are monitored by a variety of sensor types at or near the Earth's surface. After processing, these data enable millimeter-scale surface motion detection and monitoring at discrete points, and high-resolution strain imagery over areas of tens of square meters to hundreds of square kilometers. The data types include GPS/GNSS, imaging data such as from SAR and TLS, strain and seismic borehole data, and meteorological data. Most of these can be accessed via web services. In addition, GPS/GNSS datasets, TLS datasets, and InSAR products are assigned digital object identifiers."
ssdb.iodp,https://ror.org/05a18r864,https://www.re3data.org/repository/r3d100010267,http://mbobak-ofc.ncsa.illinois.edu:8888/project/Q23581185,,https://ssdb.iodp.org/dataset/sitemap.xml,https://ssdb.iodp.org/dataset,https://ssdb.iodp.org/secureGetObj.php?id=,5344,,IODP Site Survey Databank,https://ssdb.iodp.org/,,5f728495e4b01e808c7dc040,,,http://ssdb.iodp.org/images/head_logo_PRO.gif,The Site Survey Data Bank (SSDB) is a repository for site survey data submitted in support of International Ocean Discovery Program (IODP) proposals and expeditions. SSDB serves different roles for different sets of users
balto,https://ror.org/001z81t90,n/a,n/a,,http://balto.opendap.org/opendap/site_map.txt ,http://balto.opendap.org/opendap/data,,89,,Balto,http://balto.opendap.org,,5f7cb9d5e4b018b1752f2bf2,no description,,http://balto.opendap.org/opendap/docs/images/logo.png,"Driven by data-rich use cases that span geodesy, geodynamics, seismology, and ecohydrology, the BALTO project will enable brokered access to diverse geoscience data, including data that have been collected/organized by individual scientists in novel or unusual forms, also known as “long-tail” datasets."
linked.earth,n/a,n/a,n/a,,http://wiki.linked.earth/sitemap.xml,http://wiki.linked.earth,,17964,,Linked Earth,http://wiki.linked.earth,,5f7cba71e4b018b1752f2c07,.nt &now rdfa but not much info,,http://wiki.linked.earth/wiki/images/thumb/5/51/EarthLinked_Banner_blue_NoShadow.jpg/440px-EarthLinked_Banner_blue_NoShadow.jpg,"The LinkedEarth wiki is an EarthCube-funded platform that: enables the curation of publicly-accessible database by paleoclimate experts, and fosters the development of standards, so paleoclimate data are easier to analyze, share, and re-use."
lipidverse,n/a,n/a,n/a,,https://lipdverse.org/sitemap.xml,,,,,,,,,,,,
